iter	Passed	Remaining
0	16	1676
1	29	1426
2	38	1229
3	43	1049
4	49	935
5	54	848
6	59	787
7	64	742
8	69	702
9	74	670
10	79	644
11	84	618
12	89	597
13	94	578
14	99	561
15	103	545
16	109	532
17	113	518
18	118	505
19	123	494
20	128	483
21	133	471
22	138	462
23	146	463
24	152	457
25	158	451
26	164	444
27	170	438
28	176	432
29	181	424
30	186	415
31	191	406
32	196	398
33	201	391
34	206	382
35	210	375
36	215	367
37	220	359
38	225	352
39	230	345
40	236	340
41	242	335
42	247	328
43	252	321
44	257	314
45	262	308
46	267	301
47	272	294
48	276	288
49	282	282
50	286	275
51	291	269
52	296	262
53	301	257
54	307	251
55	312	245
56	316	238
57	321	233
58	326	226
59	331	220
60	335	214
61	340	208
62	345	202
63	349	196
64	354	191
65	359	185
66	364	179
67	368	173
68	373	167
69	377	161
70	383	156
71	387	150
72	392	145
73	400	140
74	408	136
75	414	130
76	419	125
77	423	119
78	428	113
79	433	108
80	437	102
81	443	97
82	449	91
83	453	86
84	458	80
85	465	75
86	471	70
87	478	65
88	484	59
89	491	54
90	498	49
91	504	43
92	510	38
93	517	33
94	523	27
95	530	22
96	536	16
97	542	11
98	550	5
99	557	0
